,0,1
2023-04-10,0.003516706195914141,-0.0006066536477022932
2023-04-11,0.004145533005973691,-0.016787099457084065
2023-04-12,-0.0024466184440335163,-0.011935893345098147
2023-04-13,0.011727070099327776,0.02550220596158595
2023-04-14,0.0011100983794804463,-0.0006644486630285884
2023-04-17,0.004354488342635201,0.005194918162797546
2023-04-18,0.0013724614645992343,0.006590165659477676
2023-04-19,-0.003458119725218038,0.009084602826919752
2023-04-20,-0.005517374046892805,-0.012066369832320595
2023-04-21,0.0008751749810990259,0.004973301228011817
2023-04-24,0.002672153793316779,-0.00548395049260722
2023-04-25,-0.017876519947746,-0.023966005156272285
2023-04-26,-0.012074985053884204,0.030779353066086007
2023-04-27,0.01393936270422532,0.029135786201722025
2023-04-28,0.010132815480184779,-0.001267485868742646
