,volatility_ann_w1,volume_avg_w1,market_cap_avg_w1,volatility_ann_w3,volume_avg_w3,market_cap_avg_w3,volatility_ann_w5,volume_avg_w5,market_cap_avg_w5,volatility_ann_w10,volume_avg_w10,market_cap_avg_w10,volatility_ann_w30,volume_avg_w30,market_cap_avg_w30
HD,0.16244071966832802,2407300.0,372513489052.7073,0.09653001619273685,2810533.3333333335,370210827132.59955,0.223160750486659,3363340.0,370023035793.1566,0.19772936623553095,3118440.0,373996620624.55945,0.16866052200726034,3029800.0,381695274732.62335
MCD,0.40505106117812667,2755800.0,218510309647.88055,0.22837914766226416,3276733.3333333335,214973285069.5043,0.31546234483837177,3889080.0,215023613425.4239,0.2481509778898674,3670940.0,214248786971.56967,0.17940625499868434,2994873.3333333335,215195952112.1815
NKE,0.6020104942704816,17646400.0,75105156349.39856,0.4339691719929046,15404766.666666666,73356863889.4297,0.3229624820924981,16471740.0,73509095886.45784,0.33148115673340717,16557820.0,74660351044.51366,0.36108624925712074,15701983.333333334,79623356537.54515
SBUX,0.33788668925439835,9575800.0,98250895918.27393,0.41251612596426807,11697766.666666666,97239055612.18262,0.3985117992243362,12694460.0,95883871020.35522,0.384855413806376,13658920.0,94412723010.17761,0.3202180213999673,10553183.333333334,94874683758.49405
LOW,0.15658719443865654,1968100.0,131984531088.89786,0.08758363700399463,2536633.3333333335,131145164973.34978,0.1796164525381695,2726440.0,130922332004.91129,0.18382935979661758,2620130.0,132190357149.34634,0.17135147096086295,2449110.0,134168007445.99583
TGT,0.14802704023569513,4762900.0,41613874805.86969,0.2284743678142531,5862566.666666667,41433629440.70538,0.35560265680831254,6570900.0,41317606367.23343,0.30515592079746845,6245160.0,41615237601.16601,0.2888547581847555,7057193.333333333,41474676238.742485
BKNG,0.2926281410109992,203600.0,162801714581.9165,0.11949697794039349,246066.66666666666,160621635276.69434,0.20492009949187012,257260.0,159617013659.9165,0.15875665646449272,270480.0,161218615603.56152,0.27600507203178787,269213.3333333333,165755666717.31885
NFLX,0.2303293033350348,2796600.0,481546348822.89355,0.07884293231808757,3634000.0,474604214544.23047,0.10863232066016378,3621820.0,470821700001.3978,0.20981553971743225,4226840.0,468519564092.88086,0.38120560224107086,4331523.333333333,488503067866.42194
JPM,0.06374906901780963,5030200.0,859200412255.6036,0.09932030652044797,6042200.0,859073387748.4913,0.08083240345713043,6439580.0,855781268093.069,0.09214266805101065,6980930.0,848390327623.6809,0.18856368060758588,7882763.333333333,832785285232.7
BAC,0.06228298879099186,22244300.0,391632844146.40674,0.052407482742988704,29625533.333333332,390074970629.1667,0.21152869660134777,39705240.0,388478160720.29926,0.15516809683797297,38300820.0,388602304593.20337,0.24154939352341698,34665853.333333336,377475732048.79987
